age,heart_rate,glucose,prior_admission,gender_encoded
0.036170087706835864,-0.030061021319875033,-0.021863973853846166,-0.018501391625660998,0.0010312990925464035
-0.013436680701291604,-0.01130252612029417,-0.008207365250984788,-0.00032324626480148615,4.4818337372053664e-05
0.17145564688716658,-0.01953722377395576,-0.0587999287229769,0.09205226323786689,-0.008395757628100606
-0.011221611781068149,-0.00996570157977671,-0.007534159784785629,-0.004535789808631466,3.2262954261946227e-05
-0.012564686488480581,-0.0017454525912165726,-0.007550731553722383,-0.011250531504828777,-0.00011359786175169452
-0.013615334128848964,-0.006201248980592743,-0.00733972778274322,-0.005723277343121259,-0.0003454117646938399
-0.013208875086862382,-0.01091101062399763,-0.00833962786870778,-0.0007991123760362919,3.36259556041035e-05
-0.010733237301596709,-0.009766460751278879,-0.004179279278783742,-0.008561521147966319,1.549847962568226e-05
-0.012866019432093959,-0.011300140979134636,-0.0037080061441704805,-0.005296832806706627,-5.4000637894285365e-05
0.006073802681019939,-0.026741067293215452,-0.007704513270275721,-0.004947202527196097,9.398040966733179e-05
-0.013838983166044544,-0.011194933041477067,-0.007993032929024977,-0.0002373307397274249,3.927987627402631e-05
-0.022395753527039677,-0.030738039585666434,-0.010373683548341808,0.048511912023710406,0.0017705646373377107
-0.012403634663722752,-0.009377065623804302,-0.006903474921412032,-0.004571686014616649,3.0861223555736404e-05
-0.011456762016869194,-0.010328328697997477,-0.007623822072247334,-0.003898433320307164,8.234610742117868e-05
-0.01150462298625534,-0.010073654264195571,-0.007325736904114679,-0.004365393473899112,4.440762846471246e-05
-0.010921961900387267,-0.008491669173435532,-0.006773834505945859,-0.007169083873400232,0.00013154945316888532
-0.010921880731556099,-0.008472838004604364,-0.006812998466984821,-0.007150252704569064,0.00013296990771433984
-0.012205702931489095,-0.009685704302476894,-0.0069380274700314775,-0.004402118320149958,6.553024147432854e-06
0.011492066847942748,-8.25353115533959e-05,-0.009342212681190643,-0.024524491988469798,-0.0007678268667288618
-0.010942846597813239,0.007498724944918023,-0.007501680441350035,-0.006289047130876341,0.004009849225121556
-0.01505209161476928,-0.013899195360368538,0.0014687726546096856,-0.005555526169192815,-0.00018695951027903208
-0.0062347046278252265,-0.01363161544573371,-0.007943252477621475,-0.004450596041809661,-0.0009648314070099316
